Time,LorR,Question,Character,Answer_State,Answer_Time
16.51083,left,9999,xx,irrelevant_answer,9999
16.8018,left,9999,xx,irrelevant_answer,9999
17.51176,left,9999,xx,irrelevant_answer,9999
17.90887,left,9999,xx,irrelevant_answer,9999
26.04482,right,3,R,correct,0.6514587
31.74931,left,2,L,correct,0.705677
36.49745,right,6,R,correct,0.8156357
82.3298,left,9999,xx,irrelevant_answer,9999
87.4138,left,1,L,correct,0.8497086
90.36146,left,6,L,correct,0.7930679
93.9205,left,4,L,correct,0.7643127
98.35162,left,3,L,correct,0.6265411
101.3822,right,2,R,correct,0.7498627
105.0497,left,5,R,character_mistake,0.745842
105.1346,right,9999,xxx,irrelevant_answer,9999
109.3795,right,2,R,correct,1.04628
117.7633,right,9999,xxx,irrelevant_answer,9999
118.9494,left,1,L,correct,0.7670441
124.0756,left,3,L,correct,1.06427
206.3859,right,9999,xxx,irrelevant_answer,9999
209.5592,left,1,L,correct,1.033508
213.8559,left,3,L,correct,1.449249
216.6147,left,5,L,correct,0.7189331
232.459,left,2,L,correct,1.396835
237.283,right,2,R,correct,0.7021484
243.0654,right,6,R,correct,1.090698
247.549,right,3,R,correct,1.322662
253.4632,left,4,L,correct,1.209045
260.0251,right,9999,xxx,irrelevant_answer,9999
265.0951,right,5,R,correct,1.101715
271.0559,right,3,R,correct,1.05658
277.358,left,2,L,correct,1.301392
288.1799,left,1,L,correct,0.8096924
292.4625,right,6,R,correct,0.6454468
295.8612,left,9999,xx,irrelevant_answer,9999
297.8463,left,4,L,correct,0.9899597
302.2804,right,3,R,correct,1.509949
306.0439,right,1,R,correct,0.7337341
311.385,right,4,L,character_mistake,0.6736755
311.4942,left,9999,xx,irrelevant_answer,9999
315.1323,left,6,L,correct,1.447815
319.2913,right,2,R,correct,0.7552795
324.1638,right,5,R,correct,0.7053833
327.3662,right,6,R,correct,0.7399902
330.6167,left,2,L,correct,1.072968
334.8083,left,3,L,correct,0.6465759
339.6298,left,1,L,correct,0.7112732
345.3275,right,4,R,correct,0.8471069
349.5794,left,5,L,correct,0.796814
352.9381,right,2,R,correct,0.6606445
358.1566,right,4,R,correct,0.6140747
361.3514,left,6,L,correct,0.7679138
366.5707,left,3,L,correct,0.7347412
372.0031,right,5,R,correct,0.696991
377.5746,right,1,R,correct,0.8811951
381.6612,right,2,R,correct,0.8013306
386.2738,right,5,R,correct,0.8963013
389.661,right,4,R,correct,1.074066
393.8411,right,6,R,correct,1.048889
397.2442,right,3,R,correct,0.8962402
401.5608,left,1,L,correct,0.8435974
405.4946,left,2,L,correct,1.110382
409.3053,left,5,L,correct,0.8653564
414.2501,right,1,R,correct,0.7460632
418.0789,left,6,L,correct,0.6939087
423.4652,left,3,L,correct,0.5939331
427.4541,left,4,L,correct,0.5594482
432.1526,left,3,L,correct,0.6582642
436.8467,left,4,L,correct,0.5875854
440.7335,left,1,L,correct,0.6680298
445.81,left,2,R,character_mistake,0.4203186
446.924,right,9999,xxx,irrelevant_answer,9999
449.1635,left,5,L,correct,0.743866
454.6857,right,6,R,correct,0.7069397
459.4464,right,3,R,correct,0.7217102
463.4892,right,4,R,correct,0.8271484
468.6167,right,1,R,correct,0.6371155
472.2532,right,6,R,correct,0.5585022
477.2155,left,2,L,correct,0.9390869
481.0651,right,5,R,correct,0.5785522
486.6416,left,5,L,correct,0.9186096
490.1633,left,6,L,correct,0.719574
494.4975,right,2,R,correct,1.026733
499.6718,left,4,L,correct,1.294434
502.891,left,3,L,correct,0.7523804
508.1363,left,1,L,correct,0.6891479
511.4865,left,4,L,correct,1.156067
516.9342,left,1,L,correct,0.8670044
522.1321,right,2,R,correct,0.9488525
526.2073,right,5,R,correct,0.598938
529.6943,left,3,L,correct,0.7532349
534.9805,left,6,L,correct,0.5584717
535.0252,right,9999,xxx,irrelevant_answer,9999
538.6426,left,1,L,correct,0.7918701
538.7257,left,9999,xx,irrelevant_answer,9999
543.0339,left,3,L,correct,0.7521973
546.1675,left,2,L,correct,0.7440186
550.9814,left,6,L,correct,0.7822266
554.4542,right,5,R,correct,0.9047852
559.7559,left,4,L,correct,0.8040161
563.3079,right,4,R,correct,0.911377
566.96,right,3,R,correct,0.8655396
572.2487,right,2,R,correct,1.206482
577.0905,left,5,L,correct,0.9559937
580.9332,right,1,R,correct,0.8026733
584.6324,left,6,R,character_mistake,0.9954834
584.7683,right,9999,xxx,irrelevant_answer,9999
588.6733,left,2,L,correct,0.6896362
591.7591,right,5,R,correct,0.586792
595.0667,right,3,R,correct,0.6715698
598.3138,right,4,R,correct,0.7127075
601.7408,right,1,R,correct,0.7907715
606.4567,left,6,L,correct,0.9146118
609.597,left,2,L,correct,0.7355957
612.6046,left,6,L,correct,0.710022
617.1973,left,5,L,correct,1.064453
620.4067,left,1,L,correct,0.7226563
623.4161,right,4,R,correct,0.93573
627.1492,left,3,L,correct,0.7741089
632.075,right,5,R,correct,0.7910156
637.3321,right,1,R,correct,0.918457
640.404,left,4,L,correct,0.8889771
646.218,right,3,R,correct,0.8580933
649.429,right,6,R,correct,0.7973633
654.1689,right,2,R,correct,0.7149658
655.0748,right,9999,xxx,irrelevant_answer,9999
658.6086,left,5,L,correct,0.9985962
663.1202,right,6,R,correct,0.9210815
667.0431,left,1,L,correct,1.00769
670.6651,left,2,L,correct,0.829834
674.3441,right,4,R,correct,0.8375244
677.856,left,3,L,correct,0.
