Time,LorR,Question,Character,Answer_State,Answer_Time
20.13638,left,4,L,correct,0.9767761
25.74534,right,6,L,character_mistake,1.075058
30.16938,right,3,L,character_mistake,1.074394
35.71074,left,2,L,correct,0.9876785
38.84278,left,1,L,correct,0.9443893
43.92962,right,4,R,correct,1.297546
49.61235,right,1,R,correct,0.7777863
53.37496,right,2,R,correct,0.7942352
58.52153,right,3,R,correct,0.8849335
62.72303,right,6,R,correct,0.9900284
65.95122,right,5,R,correct,0.9172287
70.18359,right,1,R,correct,0.8615875
75.38112,left,2,L,correct,0.8839569
79.41287,right,6,R,correct,0.8220215
85.2135,right,5,R,correct,0.8725281
90.62483,right,4,R,correct,0.7779846
94.16833,left,3,L,correct,1.042282
98.17262,left,1,L,correct,0.8795013
103.5691,left,2,L,correct,0.9910126
108.242,left,3,L,correct,0.9888458
113.4898,left,4,L,correct,0.9347839
119.141,left,6,L,correct,1.119507
123.3157,left,5,L,correct,0.9193878
128.8081,right,5,R,correct,0.9725494
132.4953,right,3,R,correct,0.7621765
137.6882,right,2,R,correct,1.568802
143.0417,right,1,R,correct,0.758728
146.2392,right,6,R,correct,1.16156
149.6447,right,4,R,correct,1.200775
153.4168,right,5,R,correct,1.087555
158.9956,left,2,L,correct,0.9295807
163.706,right,4,R,correct,1.259506
169.2125,left,3,L,correct,1.009628
173.951,left,1,L,correct,1.080734
179.4651,left,6,L,correct,1.319031
183.5083,right,2,R,correct,0.9685822
186.726,right,5,R,correct,0.8158112
190.979,left,6,L,correct,1.002747
196.1758,left,3,L,correct,0.8962555
201.4136,right,1,R,correct,0.809021
206.0932,left,4,L,correct,0.957489
209.9892,left,1,L,correct,0.912384
214.1435,left,2,L,correct,0.9505005
217.7265,right,3,R,correct,0.9733582
221.5115,right,4,R,correct,0.9925232
226.5737,left,5,L,correct,1.080627
232.0795,right,6,R,correct,0.8737488
236.0756,right,6,R,correct,0.8641357
239.1937,right,2,R,correct,1.056335
243.6619,left,1,L,correct,1.033264
248.8696,right,5,R,correct,0.9622498
252.9764,left,3,L,correct,1.299072
253.0103,left,9999,xx,irrelevant_answer,9999
256.
